Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Skövde;83230;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1945-01-01 00:00:00;2019-01-10 08:00:00;150.0;58.3949;13.8436

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2018-11-13 06:00:01;2018-11-14 06:00:00;2018-11-13;0.9;Y
2018-11-14 06:00:01;2018-11-15 06:00:00;2018-11-14;0.7;Y
2018-11-15 06:00:01;2018-11-16 06:00:00;2018-11-15;0.4;Y
2018-11-16 06:00:01;2018-11-17 06:00:00;2018-11-16;0.0;Y
2018-11-17 06:00:01;2018-11-18 06:00:00;2018-11-17;0.0;Y
2018-11-18 06:00:01;2018-11-19 06:00:00;2018-11-18;0.0;Y
2018-11-19 06:00:01;2018-11-20 06:00:00;2018-11-19;0.8;Y
2018-11-20 06:00:01;2018-11-21 06:00:00;2018-11-20;0.1;Y
2018-11-21 06:00:01;2018-11-22 06:00:00;2018-11-21;0.3;Y
2018-11-22 06:00:01;2018-11-23 06:00:00;2018-11-22;0.0;Y
2018-11-23 06:00:01;2018-11-24 06:00:00;2018-11-23;0.0;Y
2018-11-24 06:00:01;2018-11-25 06:00:00;2018-11-24;0.0;Y
2018-11-25 06:00:01;2018-11-26 06:00:00;2018-11-25;0.0;Y
2018-11-26 06:00:01;2018-11-27 06:00:00;2018-11-26;0.0;Y
2018-11-27 06:00:01;2018-11-28 06:00:00;2018-11-27;0.0;Y
2018-11-28 06:00:01;2018-11-29 06:00:00;2018-11-28;0.0;Y
2018-11-29 06:00:01;2018-11-30 06:00:00;2018-11-29;2.7;Y
2018-11-30 06:00:01;2018-12-01 06:00:00;2018-11-30;0.1;Y
2018-12-01 06:00:01;2018-12-02 06:00:00;2018-12-01;0.5;Y
2018-12-02 06:00:01;2018-12-03 06:00:00;2018-12-02;10.0;Y
2018-12-03 06:00:01;2018-12-04 06:00:00;2018-12-03;2.1;Y
2018-12-04 06:00:01;2018-12-05 06:00:00;2018-12-04;6.9;Y
2018-12-05 06:00:01;2018-12-06 06:00:00;2018-12-05;0.0;Y
2018-12-06 06:00:01;2018-12-07 06:00:00;2018-12-06;12.6;Y
2018-12-07 06:00:01;2018-12-08 06:00:00;2018-12-07;7.8;Y
2018-12-08 06:00:01;2018-12-09 06:00:00;2018-12-08;6.1;Y
2018-12-09 06:00:01;2018-12-10 06:00:00;2018-12-09;1.0;Y
2018-12-10 06:00:01;2018-12-11 06:00:00;2018-12-10;4.4;Y
2018-12-11 06:00:01;2018-12-12 06:00:00;2018-12-11;0.0;Y
2018-12-12 06:00:01;2018-12-13 06:00:00;2018-12-12;0.2;Y
2018-12-13 06:00:01;2018-12-14 06:00:00;2018-12-13;0.0;Y
2018-12-14 06:00:01;2018-12-15 06:00:00;2018-12-14;0.1;Y
2018-12-15 06:00:01;2018-12-16 06:00:00;2018-12-15;0.0;Y
2018-12-16 06:00:01;2018-12-17 06:00:00;2018-12-16;4.5;Y
2018-12-17 06:00:01;2018-12-18 06:00:00;2018-12-17;0.0;Y
2018-12-18 06:00:01;2018-12-19 06:00:00;2018-12-18;0.2;Y
2018-12-19 06:00:01;2018-12-20 06:00:00;2018-12-19;0.0;Y
2018-12-20 06:00:01;2018-12-21 06:00:00;2018-12-20;2.3;Y
2018-12-21 06:00:01;2018-12-22 06:00:00;2018-12-21;0.0;Y
2018-12-22 06:00:01;2018-12-23 06:00:00;2018-12-22;0.0;Y
2018-12-23 06:00:01;2018-12-24 06:00:00;2018-12-23;0.0;Y
2018-12-24 06:00:01;2018-12-25 06:00:00;2018-12-24;0.0;Y
2018-12-25 06:00:01;2018-12-26 06:00:00;2018-12-25;0.0;Y
2018-12-26 06:00:01;2018-12-27 06:00:00;2018-12-26;0.0;Y
2018-12-27 06:00:01;2018-12-28 06:00:00;2018-12-27;2.3;Y
2018-12-28 06:00:01;2018-12-29 06:00:00;2018-12-28;0.0;Y
2018-12-29 06:00:01;2018-12-30 06:00:00;2018-12-29;1.3;Y
2018-12-30 06:00:01;2018-12-31 06:00:00;2018-12-30;0.0;Y
2018-12-31 06:00:01;2019-01-01 06:00:00;2018-12-31;0.1;Y
2019-01-01 06:00:01;2019-01-02 06:00:00;2019-01-01;0.0;Y
2019-01-02 06:00:01;2019-01-03 06:00:00;2019-01-02;0.0;Y
2019-01-03 06:00:01;2019-01-04 06:00:00;2019-01-03;0.0;Y
2019-01-04 06:00:01;2019-01-05 06:00:00;2019-01-04;0.2;Y
2019-01-05 06:00:01;2019-01-06 06:00:00;2019-01-05;0.0;Y
2019-01-06 06:00:01;2019-01-07 06:00:00;2019-01-06;0.0;Y
2019-01-07 06:00:01;2019-01-08 06:00:00;2019-01-07;4.3;Y
2019-01-08 06:00:01;2019-01-09 06:00:00;2019-01-08;2.1;Y
2019-01-09 06:00:01;2019-01-10 06:00:00;2019-01-09;0.0;Y
